uvig_83433_12	uvig_83433_12
uvig_83433_12	MGV-GENOME-0196197_11
uvig_83433_12	MGV-GENOME-0221120_23
uvig_420773_23	uvig_420773_23
IMGVR_UViG_3300045988_010388|3300045988|Ga0495776_019701_26	IMGVR_UViG_3300045988_010388|3300045988|Ga0495776_019701_26
IMGVR_UViG_3300045988_010388|3300045988|Ga0495776_019701_26	MGV-GENOME-0286053_25
IMGVR_UViG_3300007167_000002|3300007167|Ga0102715_1000015_33	IMGVR_UViG_3300007167_000002|3300007167|Ga0102715_1000015_33
IMGVR_UViG_3300007167_000002|3300007167|Ga0102715_1000015_33	SRS062540_a1_ct10801_vs1_29
IMGVR_UViG_3300007167_000002|3300007167|Ga0102715_1000015_33	SRS142896_a1_ct9888_67
IMGVR_UViG_2841454579_000002|2841454579|2841454579|2218428-2293465_40	IMGVR_UViG_2841454579_000002|2841454579|2841454579|2218428-2293465_40
IMGVR_UViG_3300035562_000040|3300035562|Ga0376655_0000065_65	IMGVR_UViG_3300035562_000040|3300035562|Ga0376655_0000065_65
MGV-GENOME-0216752_3	MGV-GENOME-0216752_3
MGV-GENOME-0216752_3	MGV-GENOME-0291002_33
MGV-GENOME-0216752_3	MGV-GENOME-0207007_32
MGV-GENOME-0216752_3	MGV-GENOME-0291141_32
MGV-GENOME-0216752_3	IMGVR_UViG_3300045988_096815|3300045988|Ga0495776_012822_35
MGV-GENOME-0216752_3	IMGVR_UViG_3300045988_087418|3300045988|Ga0495776_012838_34
MGV-GENOME-0311490_9	MGV-GENOME-0311490_9
MGV-GENOME-0311490_9	IMGVR_UViG_3300045988_089611|3300045988|Ga0495776_161891_8
MGV-GENOME-0311490_9	uvig_355478_9
MGV-GENOME-0311490_9	MGV-GENOME-0320858_37
MGV-GENOME-0311490_9	IMGVR_UViG_3300045988_185944|3300045988|Ga0495776_170650|4528-45362_38
MGV-GENOME-0311490_9	MGV-GENOME-0320858_36
MGV-GENOME-0311490_9	IMGVR_UViG_3300045988_185944|3300045988|Ga0495776_170650|4528-45362_37
MGV-GENOME-0346511_38	MGV-GENOME-0346511_38
MGV-GENOME-0346511_38	AFR51970.1
MGV-GENOME-0346511_38	AHN83427.1
MGV-GENOME-0346511_38	AGC31526.1
MGV-GENOME-0346511_38	YP_006990664.1
